序号,代码,名称,研报数,机构投资评级(近六个月)-买入,机构投资评级(近六个月)-增持,机构投资评级(近六个月)-中性,机构投资评级(近六个月)-减持,机构投资评级(近六个月)-卖出,2025预测每股收益,2026预测每股收益,2027预测每股收益,2028预测每股收益
200,603296,华勤技术,19,15.0,4.0,0.0,0.0,0.0,2.674682907317,4.237421052632,5.253526315789,6.482777777778
201,000725,京东方A,19,15.0,4.0,0.0,0.0,0.0,0.158106977778,0.225789473684,0.32,0.436842105263
202,002916,深南电路,19,16.0,3.0,0.0,0.0,0.0,4.80901173856,8.296842105263,11.999473684211,16.053333333333
203,002541,鸿路钢构,19,16.0,3.0,0.0,0.0,0.0,0.914716764691,1.263888888889,1.515555555556,1.796470588235
204,688676,金盘科技,19,13.0,6.0,0.0,0.0,0.0,1.434448555182,1.950944444444,2.751666666667,3.573875
205,603129,春风动力,19,15.0,4.0,0.0,0.0,0.0,10.915696385007,14.880736842105,19.207894736842,23.996777777778
206,000807,云铝股份,19,14.0,5.0,0.0,0.0,0.0,1.745894151947,3.794,4.186052631579,4.374894736842
207,601058,赛轮轮胎,19,17.0,2.0,0.0,0.0,0.0,1.07128518173,1.374263157895,1.644105263158,1.922944444444
208,601168,西部矿业,19,10.0,9.0,0.0,0.0,0.0,1.528613836341,2.886842105263,3.310526315789,3.555
209,002028,思源电气,19,14.0,5.0,0.0,0.0,0.0,4.02536444509,5.393111111111,7.398388888889,9.8665625
210,603170,宝立食品,19,12.0,7.0,0.0,0.0,0.0,0.656485327767,0.758842105263,0.868842105263,0.985166666667
211,001914,招商积余,19,13.0,6.0,0.0,0.0,0.0,0.621207967621,0.909473684211,0.986315789474,1.072222222222
212,600795,国电电力,18,15.0,3.0,0.0,0.0,0.0,0.401523436311,0.348611111111,0.411444444444,0.448117647059
213,300012,华测检测,18,13.0,5.0,0.0,0.0,0.0,0.603993969922,0.702631578947,0.803157894737,0.910555555556
214,601339,百隆东方,18,12.0,6.0,0.0,0.0,0.0,0.437547007047,0.652222222222,0.696666666667,0.755294117647
215,301606,绿联科技,18,13.0,5.0,0.0,0.0,0.0,1.698186955697,2.403166666667,3.168333333333,4.115941176471
216,603766,隆鑫通用,18,16.0,2.0,0.0,0.0,0.0,0.802394346509,1.057166666667,1.263611111111,1.510588235294
217,601985,中国核电,18,13.0,5.0,0.0,0.0,0.0,0.452363409108,0.423333333333,0.481111111111,0.546875
218,000792,盐湖股份,18,12.0,6.0,0.0,0.0,0.0,1.601704445516,2.203333333333,2.471111111111,2.695882352941
219,603697,有友食品,18,14.0,4.0,0.0,0.0,0.0,0.433855902079,0.551111111111,0.665,0.771176470588
220,601390,中国中铁,18,12.0,6.0,0.0,0.0,0.0,0.933162668157,0.904444444444,0.91,0.935555555556
221,688777,中控技术,18,14.0,4.0,0.0,0.0,0.0,0.557993876251,0.938421052632,1.278947368421,1.661111111111
